09/15/22,"Hail, Ceasar!","O"
09/15/22,"Chef","G"
09/15/22,"Pinocchio","B"
09/20/22,"Bad Words","O"
09/21/22,"Everything Must Go","O"
09/23/22,"Three Thousand Years of Longing","O"
09/24/22,"Drunken Master","G"
09/24/22,"Do Revenge","B" 
09/29/22,"Iron Sky","B"				
10/01/22,"Juno","G"
10/02/22,"House of Gucci","G"
10/03/22,"Hardcore Henry","B"
10/04/22,"War Dogs","O"
10/04/22,"Blonde","G"
10/09/22,"Jexi","B"
10/09/22,"Role Models","O"
10/13/22,"How to Be Single","G"
10/16/22,"The Boy Downstairs","O"
10/17/22,"Last Night in Soho","O"
10/18/22,"Memory","O"
10/18/22,"Jumping from High Places","G"
10/18/22,"On Body and Soul","O"
10/19/22,"Under the Riccione Sun","O"
10/20/22,"Four to Dinner","O"
10/20/22,"An Easy Girl","B"
10/20/22,"Paris is Us","O"
10/21/22,"Out of my League","B"
10/22/22,"Crazy About Her","G"
10/23/22,"Rose Island","O"				
10/23/22,"Love Wedding Repeat","G"
10/23/22,"Someone Borrowed","O"
10/24/22,"Nobody Knows I'm Here","G"
10/24/22,"Tell Me When","O"
10/25/22,"Sounds Like Love","O"
10/25/22,"Friendzone","B"
10/26/22,"Black Adam","G"
10/27/22,"All my Friends are Dead","B"
10/27/22,"Robbing Mussolini","O" 
10/30/22,"Through My Window","O"			
10/30/22,"Abandoned","B" 
10/31/22,"Newness","O"
10/31/22,"The Hobbit: An Unexpected Journey","G"
10/31/22,"The Hobbit: The Desolation of Smaug","G"
11/01/22,"The Hobbit: The Battle of the Five Armies","G"
11/01/22,"Amar","O"
11/03/22,"See How They Run","O"
11/04/22,"Who Would You Take to a Deserted Island?","O"
11/04/22,"Accepted","G"
11/05/22,"A Good Old Fashioned Orgy","O"		 
11/06/22,"Milf","B"
11/06/22,"The Aviator","O"
11/06/22,"Red Notice","O"
11/06/22,"Friendsgiving","B"
11/07/22,"Don't Worry Darling","O"
11/08/22,"The Bad Guys","G"
11/10/22,"Black Panther: Wakanda Forever","G"
11/12/22,"All Quiet on the Western Front","G" 
11/13/22,"Captain Phillips","G"
11/13/22,"He's Just Not That Into You","G"		
11/14/22,"Don't Leave","G"
11/16/22,"The Day After Tomorrow","O"
11/16/22,"Two Night Stand","O"
11/17/22,"Licorice Pizza","G"
11/19/22,"The Perks of Being a Wallflower","G"
11/20/22,"To the Bone","B"
11/20/22,"Beerfest","G"
11/20/22,"The Four of Us","G"
11/21/22,"Wedding Crashers","G"
11/22/22,"This is the End","O"				
11/23/22,"I Love You, Man","O"
11/24/22,"Rango","G"
11/24/22,"We're the Millers","O"
11/24/22,"Soul Plane","O"
11/26/22,"Private Life","G"
11/29/22,"21 & Over","B"
11/30/22,"You Don't Mess with the Zohan","G" 
12/01/22,"Jurassic Park 3","G"
12/02/22,"Burnt","G"
12/03/22,"That Awkward Moment","O"					
12/04/22,"A Million Ways to Die in the West","B"
12/07/22,"Southpaw","G"
12/08/22,"A Star is Born","G"
12/08/22,"Bad Teacher","G"
12/09/22,"Guillermo Del Toro's Pinocchio","O"
12/11/22,"Amsterdam","G"
12/12/22,"The Marriage App","B"
12/13/22,"The Banshees of Inisherin","G"
12/14/22,"Emily the Criminal","O"
12/15/22,"I am Legend","G"			
12/15/22,"Megamind","G"
12/17/22,"Avatar","G"
12/17/22,"Bullet Train","G" 
12/18/22,"Legends of the Fall","O"
12/18/22,"The Green Knight","G"
12/19/22,"Alita Battle Angel","O"
